                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1435,                 4.2151,                  4.205,                0.00482,                    0.5,                0.01165,                0.00382,                 2.4524,                 4.3566,                 4.1438,             0.00024685,             0.00024685,             0.00024685
                     35,                 3.1085,                 4.4278,                  4.148,                0.00463,                    0.5,                 0.0112,                0.00338,                 2.4512,                 4.3568,                 4.1431,             0.00025059,             0.00025059,             0.00025059
                     36,                 3.3748,                  4.127,                 4.1885,                0.00463,                    0.5,                 0.0112,                0.00338,                 2.4512,                 4.3568,                 4.1431,             0.00025411,             0.00025411,             0.00025411
                     37,                 2.8219,                  4.067,                 4.1769,                0.00461,                    0.5,                0.00754,                0.00291,                   2.45,                 4.3571,                 4.1428,             0.00025741,             0.00025741,             0.00025741
                     38,                 2.9298,                 4.2613,                 4.1211,                0.00461,                    0.5,                0.00754,                0.00291,                   2.45,                 4.3571,                 4.1428,              0.0002605,              0.0002605,              0.0002605
                     39,                 3.5241,                 4.0881,                 4.2488,                0.00442,                    0.5,                0.00901,                0.00319,                  2.449,                  4.357,                 4.1433,             0.00026336,             0.00026336,             0.00026336
                     40,                 3.3929,                 4.1688,                 4.2231,                0.00442,                    0.5,                0.00901,                0.00319,                  2.449,                  4.357,                 4.1433,               0.000266,               0.000266,               0.000266
                     41,                 2.9227,                 3.9731,                 4.2263,                0.00673,                    0.5,                0.00756,                 0.0015,                 2.4476,                 4.3564,                 4.1445,             0.00026842,             0.00026842,             0.00026842
                     42,                 3.5284,                 4.1661,                 4.2003,                0.00673,                    0.5,                0.00756,                 0.0015,                 2.4476,                 4.3564,                 4.1445,             0.00027062,             0.00027062,             0.00027062
                     43,                 3.2953,                 4.2151,                 4.1795,                0.00233,                0.16667,                0.00295,                0.00105,                 2.4456,                 4.3549,                  4.145,              0.0002726,              0.0002726,              0.0002726
                     44,                 3.4859,                 4.1843,                 4.1729,                0.00233,                0.16667,                0.00295,                0.00105,                 2.4456,                 4.3549,                  4.145,             0.00027436,             0.00027436,             0.00027436
                     45,                 2.9508,                 4.2218,                 4.1423,                 0.0023,                0.16667,                0.00316,                0.00084,                 2.4435,                 4.3527,                  4.146,              0.0002759,              0.0002759,              0.0002759
                     46,                 3.4295,                 4.2181,                 4.1696,                 0.0023,                0.16667,                0.00316,                0.00084,                 2.4435,                 4.3527,                  4.146,             0.00027722,             0.00027722,             0.00027722
                     47,                 3.0764,                 4.0062,                 4.1456,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4404,                  4.351,                  4.148,             0.00027832,             0.00027832,             0.00027832
                     48,                 3.3698,                 4.2427,                 4.1689,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4404,                  4.351,                  4.148,              0.0002792,              0.0002792,              0.0002792
                     49,                 3.6007,                 4.1348,                 4.1321,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4348,                 4.3484,                 4.1502,             0.00027987,             0.00027987,             0.00027987
                     50,                 3.2133,                 4.0897,                 4.1277,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4348,                 4.3484,                 4.1502,             0.00028031,             0.00028031,             0.00028031
                     51,                 2.9234,                 4.1918,                  4.141,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028053,             0.00028053,             0.00028053
                     52,                 3.6789,                 3.8514,                 4.2197,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028053,             0.00028053,             0.00028053
                     53,                 3.4249,                 3.9915,                 4.1597,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028031,             0.00028031,             0.00028031
                     54,                 3.6174,                 3.9811,                 4.1371,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027987,             0.00027987,             0.00027987
                     55,                  3.282,                 4.0221,                 4.1383,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027921,             0.00027921,             0.00027921
                     56,                 3.5365,                 4.1196,                 4.1703,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027833,             0.00027833,             0.00027833
                     57,                 3.5408,                 3.8056,                 4.1421,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027723,             0.00027723,             0.00027723
                     58,                 3.3505,                 3.9924,                 4.1779,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027592,             0.00027592,             0.00027592
                     59,                 3.2679,                 3.9373,                   4.13,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027438,             0.00027438,             0.00027438
                     60,                 3.2864,                 4.0732,                 4.1344,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00027262,             0.00027262,             0.00027262
                     61,                 3.0751,                 4.0298,                 4.1905,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00027064,             0.00027064,             0.00027064
                     62,                 3.3634,                 3.9709,                 4.1256,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00026844,             0.00026844,             0.00026844
                     63,                  3.367,                 4.0275,                 4.1215,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026602,             0.00026602,             0.00026602
                     64,                 2.9584,                 3.8903,                 4.1176,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026338,             0.00026338,             0.00026338
                     65,                 3.1904,                 3.9511,                 4.1467,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026053,             0.00026053,             0.00026053
                     66,                 3.1988,                 3.9771,                 4.1484,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025745,             0.00025745,             0.00025745
                     67,                 3.4458,                 4.1669,                   4.15,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025415,             0.00025415,             0.00025415
                     68,                 3.4937,                 3.9248,                 4.1517,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025063,             0.00025063,             0.00025063
                     69,                 3.5427,                 4.0031,                 4.1238,                0.00516,                    0.5,                 0.0085,                0.00394,                 2.3944,                 4.3494,                 4.1765,             0.00024689,             0.00024689,             0.00024689
                     70,                 3.0661,                 3.8663,                 4.0595,                0.00516,                    0.5,                 0.0085,                0.00394,                 2.3944,                 4.3494,                 4.1765,             0.00024293,             0.00024293,             0.00024293
