                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.466,                 4.3438,                 4.3587,                0.00498,                    0.5,                0.00895,                0.00378,                 2.4632,                 4.3613,                  4.159,                      0,                      0,                      0
                      2,                 3.2644,                 4.5858,                 4.3746,                0.00497,                    0.5,                0.00786,                 0.0036,                 2.4632,                 4.3611,                  4.159,             7.4437e-06,             7.4437e-06,             7.4437e-06
                      3,                 3.4479,                 4.3551,                 4.3924,                0.00491,                    0.5,                0.00769,                0.00382,                 2.4632,                 4.3608,                 4.1591,             7.5548e-06,             7.5548e-06,             7.5548e-06
